,Unnamed: 0,Title,University,Link,Country,State,Location,Date
161,117,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,Catalan Institute of Nanoscience and Nanotechnology,https://arxiv.org/pdf/2401.14109v1,Spain,,Spain,1.2024
162,118,Conditional Independence of 1D Gibbs States with Applications to Efficient Learning,"Departamento de An ́alisis Matema ́tico y Matema ́tica Aplicada, Universidad Complutense de Madrid",https://arxiv.org/pdf/2402.18500v1,Spain,,Spain,2.2024
163,119,Light-induced phase transitions in vanadium dioxide: a tensor network study,DIPC - Donostia International Physics Center,https://arxiv.org/pdf/2402.01247v2,Spain,,Spain,2.2024
164,120,Computing exact moments of local random quantum circuits via tensor networks,Donostia International Physics Center,https://arxiv.org/pdf/2403.01706v1,Spain,,Spain,3.2024
165,121,Tensor Networks for Explainable Machine Learning in Cybersecurity,Donostia International Physics Center,https://arxiv.org/pdf/2401.00867v2,Spain,,Spain,1.2024
166,122,Variational Quantum and Quantum-Inspired Clustering,Donostia International Physics Center,https://arxiv.org/pdf/2206.09893v2,Spain,,Spain,6.2022
167,123,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,"Donostia International Physics Center, Paseo Manuel de Lardizabal",https://arxiv.org/pdf/2401.14109v1,Spain,,Spain,1.2024
168,124,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,Ikerbasque Foundation for Science,https://arxiv.org/pdf/2401.14109v1,Spain,,Spain,1.2024
169,125,Tensor Networks for Explainable Machine Learning in Cybersecurity,Ikerbasque Foundation for Science,https://arxiv.org/pdf/2401.00867v2,Spain,,Spain,1.2024
170,126,Conditional Independence of 1D Gibbs States with Applications to Efficient Learning,Instituto de F ́ısica Teo ́rica UAM/CSIC,https://arxiv.org/pdf/2402.18500v1,Spain,,Spain,2.2024
171,127,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,"Multiverse Computing, Parque Cientifico y Tecnolo ́gico de Gipuzkua",https://arxiv.org/pdf/2401.14109v1,Spain,,Spain,1.2024
172,128,Tensor Networks for Explainable Machine Learning in Cybersecurity,"Multiverse Computing, Paseo de Miramon",https://arxiv.org/pdf/2401.00867v2,Spain,,Spain,1.2024
173,129,Quantized Thouless pumps protected by interactions in dimerized Rydberg tweezer arrays,The Barcelona Institute,https://arxiv.org/pdf/2402.09311v1,Spain,,Spain,2.2024
174,130,Light-induced phase transitions in vanadium dioxide: a tensor network study,The Barcelona Institute,https://arxiv.org/pdf/2402.01247v2,Spain,,Spain,2.2024
175,131,Quantum metrology using quantum combs and tensor network formalism,Universidad Complutense de Madrid,https://arxiv.org/pdf/2403.04854v1,Spain,,Spain,3.2024
176,132,Tensor Networks for Explainable Machine Learning in Cybersecurity,University of Navarra,https://arxiv.org/pdf/2401.00867v2,Spain,,Spain,1.2024
177,133,Non-Abelian hyperbolic band theory from supercells,"Condensed Matter Theory Group, Paul Scherrer Institute",https://arxiv.org/pdf/2305.04945v2,Switzerland,,Switzerland,5.2023
178,134,Non-Abelian hyperbolic band theory from supercells,"Department of Physics, University of Zurich",https://arxiv.org/pdf/2305.04945v2,Switzerland,,Switzerland,5.2023
179,135,Sampling diverse near-optimal solutions via algorithmic quantum annealing,"Google Quantum AI, Zurich",https://arxiv.org/pdf/2110.10560v3,Switzerland,,Switzerland,10.2021
180,136,Computational supremacy in quantum simulation,"Institute for Theoretical Physics, ETH Zurich",https://arxiv.org/pdf/2403.00910v1,Switzerland,,Switzerland,3.2024
181,137,Non-Abelian hyperbolic band theory from supercells,"Institute for Theoretical Physics, ETH Zurich",https://arxiv.org/pdf/2305.04945v2,Switzerland,,Switzerland,5.2023
182,138,Quantum-HPC Framework with multi-GPU-Enabled Hybrid Quantum-Classical Workflow: Applications in Quantum Simulations,"Graduate Institute of Applied Physics, National Taiwan University",https://arxiv.org/pdf/2403.05828v1,Taiwan,,Taiwan,3.2024
183,139,The Cytnx Library for Tensor Networks,National Sun Yat-Sen University,https://arxiv.org/pdf/2401.01921v1,Taiwan,,Taiwan,1.2024
184,140,The Cytnx Library for Tensor Networks,National Taiwan University,https://arxiv.org/pdf/2401.01921v1,Taiwan,,Taiwan,1.2024
185,141,Recursive Quantum Relaxation for Combinatorial Optimization Problems,National Tsing Hua University,https://arxiv.org/pdf/2403.02045v1,Taiwan,,Taiwan,3.2024
186,142,Comment on “Controlled Bond Expansion for Density Matrix Renormalization Group Ground State Search at Single-Site Costs”,National Tsing Hua University,https://arxiv.org/pdf/2403.00562v1,Taiwan,,Taiwan,3.2024
187,143,The Cytnx Library for Tensor Networks,National Tsing Hua University,https://arxiv.org/pdf/2401.01921v1,Taiwan,,Taiwan,1.2024
188,144,The Cytnx Library for Tensor Networks,National Yang Ming Chiao Tung University,https://arxiv.org/pdf/2401.01921v1,Taiwan,,Taiwan,1.2024
189,145,Quantum-HPC Framework with multi-GPU-Enabled Hybrid Quantum-Classical Workflow: Applications in Quantum Simulations,"NVidia AI Technology Center (NVAITC), NVIDIA, Taiwan",https://arxiv.org/pdf/2403.05828v1,Taiwan,,Taiwan,3.2024
190,146,Quantum metrology using quantum combs and tensor network formalism,"Quantum Research Center, Technology Innovation Institute, Abu Dhabi",https://arxiv.org/pdf/2403.04854v1,UAE,,UAE,3.2024
191,147,Spectral Gaps of 2D and 3D Many-body Quantum Systems in the Thermodynamic Limit,Akhiezer Institute,https://arxiv.org/pdf/2401.14368v1,Ukraine,,Ukraine,1.2024
192,148,Corner transfer matrix renormalization group approach in the zoo of Archimedean lattices,Akhiezer Institute,https://arxiv.org/pdf/2401.07274v1,Ukraine,,Ukraine,1.2024
193,149,Spectral Gaps of 2D and 3D Many-body Quantum Systems in the Thermodynamic Limit,Karazin Kharkiv National University,https://arxiv.org/pdf/2401.14368v1,Ukraine,,Ukraine,1.2024
194,150,Corner transfer matrix renormalization group approach in the zoo of Archimedean lattices,Karazin Kharkiv National University,https://arxiv.org/pdf/2401.07274v1,Ukraine,,Ukraine,1.2024
