,Unnamed: 0,Title,University,Link,Country,State,Location,Date
35,35,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,"Northeastern University, Boston",https://arxiv.org/pdf/2403.03179v1,USA,MA,"USA, MA",3.2024
36,36,One-half reflected entropy is not a lower bound for entanglement of purification,"Northeastern University, Boston",https://arxiv.org/pdf/2309.02506v2,USA,MA,"USA, MA",9.2023
37,37,Environmentally driven symmetry-breaking quenches dual fluorescence in proflavine,Oregon State University,https://arxiv.org/pdf/2403.03316v1,USA,OR,"USA, OR",3.2024
38,38,Application of Quantum Tensor Networks for Protein Classification,Pennsylvania State University State College,https://arxiv.org/pdf/2403.06890v1,USA,PA,"USA, PA",3.2024
39,39,Environmentally driven symmetry-breaking quenches dual fluorescence in proflavine,San Diego State University,https://arxiv.org/pdf/2403.03316v1,USA,CA,"USA, CA",3.2024
40,40,Tensor Renormalization Group for fermions,The University of Iowa,https://arxiv.org/pdf/2401.08542v1,USA,IA,"USA, IA",1.2024
41,41,One-half reflected entropy is not a lower bound for entanglement of purification,The University of Texas at Austin,https://arxiv.org/pdf/2309.02506v2,USA,TX,"USA, TX",9.2023
42,42,Spectral Gaps of 2D and 3D Many-body Quantum Systems in the Thermodynamic Limit,Tulane University,https://arxiv.org/pdf/2401.14368v1,USA,LA,"USA, LA",1.2024
43,43,Detecting Measurement-Induced Entanglement Transitions With Unitary Mirror Circuits,University of Maryland,https://arxiv.org/pdf/2401.17367v1,USA,MD,"USA, MD",1.2024
44,0,Recursive Quantum Relaxation for Combinatorial Optimization Problems,The University of Queensland,https://arxiv.org/pdf/2403.02045v1,Australia,,Australia,3.2024
45,1,Emergent (2+1)D topological orders from iterative (1+1)D gauging,"University of Vienna, Faculty of Mathematics",https://arxiv.org/pdf/2403.07575v1,Austria,,Austria,3.2024
46,2,Finite-Entanglement Scaling of 2D Metals,"Department of Physics, Ghent University",https://arxiv.org/pdf/2305.02091v2,Belgium,,Belgium,5.2023
47,3,Mutual information scrambling in Ising spin chain,Vrije Universiteit Brussel,https://arxiv.org/pdf/2402.13558v1,Belgium,,Belgium,2.2024
48,4,Liouvillian recursion method for the electronic Green&#39;s function,"AlgoLab Quantique, Institut Quantique, Université de Sherbrooke",https://arxiv.org/pdf/2401.02527v1,Canada,,Canada,1.2024
49,5,Computational supremacy in quantum simulation,"D-Wave Quantum Inc., Burnaby, British Columbia",https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
